,Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
105,6,0,0,2,1600,7,129,1129,95.4,9.0,3
106,7,0,0,2,1600,5,130,1049,95.48,44.0,3
107,8,0,0,2,1600,2,124,1080,96.17,33.0,3
108,1,0,0,1,1400,7,130,1255,82.13,3.7,5
109,2,0,0,1,1400,10,129,1165,82.2,7.2,5
110,3,0,0,1,1400,3,129,1070,82.63,3.9,5
111,4,0,0,1,1400,1,124,970,82.7,7.9,5
112,5,0,0,1,1400,8,130,1269,83.01,66.0,5
113,6,0,0,1,1400,6,122,1071,83.1,25.0,5
114,7,0,0,1,1400,9,113,1096,83.12,9.0,5
115,8,0,0,1,1400,2,129,1110,83.92,23.0,5
116,9,0,0,1,1400,11,130,1063,84.53,10.0,5
117,10,0,0,1,1400,4,118,1045,85.01,12.0,5
118,11,0,0,1,1400,5,131,1033,85.3,29.0,5
119,1,0,0,1,1200,7,133,1111,69.4,2.9,4
120,2,0,0,1,1200,4,115,1035,69.56,11.0,4
121,3,0,0,1,1200,2,129,1060,69.57,11.0,4
122,4,0,0,1,1200,5,127,1125,69.59,2.9,4
123,5,0,0,1,1200,9,127,1131,69.84,15.0,4
124,6,0,0,1,1200,1,114,1054,69.98,26.0,4
125,7,0,0,1,1200,3,130,1063,69.99,37.0,4
126,8,0,0,1,1200,8,124,1176,70.01,5.3,4
127,9,0,0,1,1200,10,115,1063,70.24,105.0,4
128,10,0,0,1,1200,6,112,1051,72.41,28.0,4
129,1,0,1,2,1200,6,114,1208,70.06,9.2,4
130,2,0,1,2,1200,9,120,1193,70.15,14.0,4
131,3,0,1,2,1200,7,118,1257,70.52,5.3,4
132,4,0,1,2,1200,1,113,1204,70.68,6.3,4
133,5,0,1,2,1200,4,128,1118,70.83,3.8,4
134,6,0,1,2,1200,5,127,1157,71.02,6.2,4
135,7,0,1,2,1200,3,124,1094,71.08,8.7,4
136,8,0,1,2,1200,8,120,1081,71.16,21.0,4
137,9,0,1,2,1200,2,126,1114,71.61,9.6,4
138,1,0,0,1,1600,5,131,1009,94.41,24.0,4
139,2,0,0,1,1600,10,119,1071,94.52,14.0,4
140,3,0,0,1,1600,7,123,1118,94.72,13.0,4
141,4,0,0,1,1600,6,130,1048,95.02,17.0,4
142,5,0,0,1,1600,4,129,1141,95.06,6.4,4
143,6,0,0,1,1600,9,128,1123,95.19,11.0,4
144,7,0,0,1,1600,2,115,1089,95.65,7.6,4
145,8,0,0,1,1600,3,126,1145,95.8,2.6,4
146,9,0,0,1,1600,1,120,1169,96.52,7.1,4
147,10,0,0,1,1600,8,110,1081,96.73,12.0,4
148,1,0,0,1,1400,1,117,1238,82.34,8.4,4
149,2,0,0,1,1400,5,126,979,82.36,4.2,4
150,3,0,0,1,1400,6,133,1080,82.57,2.5,4
151,4,0,0,1,1400,3,122,1071,82.86,134.0,4
152,5,0,0,1,1400,4,131,1114,82.95,4.3,4
153,6,0,0,1,1400,8,119,1095,82.97,34.0,4
154,7,0,0,1,1400,9,126,1128,83.16,9.8,4
155,8,0,0,1,1400,11,119,1043,83.54,145.0,4
156,9,0,0,1,1400,7,120,1174,83.6,64.0,4
157,10,0,0,1,1400,10,122,1177,83.76,17.0,4
158,11,0,0,1,1400,2,126,1016,84.13,49.0,4
159,1,0,1,2,1200,10,126,1087,69.34,11.0,3
160,2,0,1,2,1200,3,133,1145,69.45,8.0,3
161,3,0,1,2,1200,8,119,1196,69.53,3.2,3
162,4,0,1,2,1200,2,129,1131,69.91,15.0,3
163,5,0,1,2,1200,12,124,1254,69.97,14.0,3
164,6,0,1,2,1200,7,116,1155,70.17,37.0,3
165,7,0,1,2,1200,11,129,1112,70.21,9.4,3
166,8,0,1,2,1200,6,132,1179,70.65,19.0,3
167,9,0,1,2,1200,9,113,1026,71.4,110.0,3
168,10,0,1,2,1200,5,129,1140,71.55,15.0,3
169,11,0,1,2,1200,1,126,1131,72.26,8.1,3
170,12,0,1,2,1200,4,126,1167,73.34,5.8,3
171,1,0,0,1,1200,2,121,1087,69.27,14.0,3
172,2,0,0,1,1200,1,116,1205,69.61,7.7,3
173,3,0,0,1,1200,3,116,1267,69.65,1.9,3
174,4,0,0,1,1200,8,126,1106,69.68,22.0,3
175,5,0,0,1,1200,5,133,1163,69.76,4.6,3
176,6,0,0,1,1200,4,125,1053,69.81,9.9,3
177,7,0,0,1,1200,7,127,1125,69.94,81.0,3
178,8,0,0,1,1200,11,131,1127,70.16,169.0,3
179,9,0,0,1,1200,6,109,1051,70.39,28.0,3
180,10,0,0,1,1200,10,121,1125,70.65,74.0,3
181,11,0,0,1,1200,12,125,1045,70.97,16.0,3
182,12,0,0,1,1200,9,121,1130,71.96,212.0,3
183,1,0,1,2,1200,7,130,1176,69.73,11.0,5
184,2,0,1,2,1200,5,119,1163,69.87,9.4,5
185,3,0,1,2,1200,4,120,1139,70.01,7.8,5
186,4,0,1,2,1200,2,128,1099,70.04,10.0,5
187,5,0,1,2,1200,12,125,1080,70.32,7.6,5
188,6,0,1,2,1200,6,129,988,70.44,5.7,5
189,7,0,1,2,1200,9,123,1035,70.56,10.0,5
190,8,0,1,2,1200,10,127,1206,70.59,7.8,5
191,9,0,1,2,1200,3,117,1061,70.76,24.0,5
192,10,0,1,2,1200,1,124,1149,70.8,22.0,5
193,11,0,1,2,1200,11,131,1054,71.53,27.0,5
194,12,0,1,2,1200,8,128,1123,71.69,7.2,5
195,1,0,0,2,1200,1,122,1257,69.5,8.6,4
196,2,0,0,2,1200,14,117,1116,69.64,12.0,4
197,3,0,0,2,1200,7,133,1080,69.81,7.0,4
198,4,0,0,2,1200,10,126,1175,69.95,19.0,4
199,5,0,0,2,1200,2,119,1188,69.99,11.0,4
200,6,0,0,2,1200,5,125,1088,70.09,7.4,4
201,7,0,0,2,1200,4,116,1131,70.28,76.0,4
202,8,0,0,2,1200,13,131,1103,70.61,25.0,4
203,9,0,0,2,1200,12,122,1185,70.74,3.6,4
204,10,0,0,2,1200,3,123,1066,70.79,58.0,4
205,11,0,0,2,1200,9,118,1181,70.98,104.0,4
206,12,0,0,2,1200,8,131,1174,71.03,6.7,4
207,13,0,0,2,1200,6,129,1051,71.08,72.0,4
208,14,0,0,2,1200,11,125,1076,71.37,12.0,4
209,1,0,0,1,1600,12,131,1103,93.98,18.0,4
210,2,0,0,1,1600,14,133,1106,94.05,4.7,4
211,3,0,0,1,1600,6,116,1093,94.06,3.7,4
212,4,0,0,1,1600,11,126,1140,94.34,14.0,4
213,5,0,0,1,1600,2,124,1130,94.56,11.0,4
214,6,0,0,1,1600,4,113,1036,94.66,74.0,4
215,7,0,0,1,1600,3,115,1043,94.7,7.2,4
216,8,0,0,1,1600,10,132,1110,94.7,16.0,4
217,9,0,0,1,1600,1,122,1050,95.07,10.0,4
218,10,0,0,1,1600,13,124,1148,95.08,48.0,4
219,11,0,0,1,1600,9,127,1127,95.71,10.0,4
220,12,0,0,1,1600,8,109,992,95.83,87.0,4
221,13,0,0,1,1600,7,133,1044,96.0,17.0,4
222,14,0,0,1,1600,5,121,1177,96.07,63.0,4
223,1,0,0,1,1400,2,123,1074,81.38,12.0,4
224,2,0,0,1,1400,1,130,1087,81.42,2.7,4
225,3,0,0,1,1400,3,126,1142,81.8,11.0,4
226,4,0,0,1,1400,10,119,1183,81.91,13.0,4
227,5,0,0,1,1400,4,131,1073,81.92,3.3,4
228,6,0,0,1,1400,6,123,1176,82.02,15.0,4
229,7,0,0,1,1400,13,127,1130,82.34,17.0,4
230,8,0,0,1,1400,8,109,1188,82.43,140.0,4
231,9,0,0,1,1400,5,116,1266,82.78,93.0,4
232,10,0,0,1,1400,9,109,1032,82.87,139.0,4
233,11,0,0,1,1400,12,130,1060,82.88,12.0,4
234,12,0,0,1,1400,11,131,1073,82.95,22.0,4
235,13,0,0,1,1400,14,130,1093,83.08,77.0,4
236,14,0,0,1,1400,7,120,1165,83.38,32.0,4
237,1,0,1,2,1200,6,112,1293,68.66,9.7,3
238,2,0,1,2,1200,7,126,1145,68.73,2.4,3
239,3,0,1,2,1200,4,124,1186,68.78,5.3,3
240,4,0,1,2,1200,12,130,1271,68.81,39.0,3
241,5,0,1,2,1200,5,112,993,68.85,7.5,3
242,6,0,1,2,1200,2,115,1048,69.06,25.0,3
243,7,0,1,2,1200,11,125,1121,69.23,22.0,3
244,8,0,1,2,1200,1,122,1251,69.33,6.8,3
245,9,0,1,2,1200,3,121,1125,69.79,29.0,3
246,10,0,1,2,1200,8,119,1120,70.01,153.0,3
247,11,0,1,2,1200,9,129,1127,70.07,18.0,3
248,12,0,1,2,1200,10,122,1041,70.51,39.0,3
249,1,0,0,1,1800,3,132,1170,107.26,12.0,3
250,2,0,0,1,1800,10,113,1112,107.48,6.9,3
251,3,0,0,1,1800,5,115,1043,107.62,10.0,3
252,4,0,0,1,1800,4,133,1190,107.94,3.2,3
253,5,0,0,1,1800,7,132,1080,107.95,8.1,3
254,6,0,0,1,1800,8,128,1097,107.97,4.9,3
255,7,0,0,1,1800,2,119,1092,108.42,6.6,3
256,8,0,0,1,1800,1,113,1038,109.52,15.0,3
257,9,0,0,1,1800,6,132,1286,110.47,28.0,3
