Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
3,0,0,2,1000,13,121,1141,57.56,17,3
4,0,0,2,1000,12,130,1144,57.62,8.9,3
5,0,0,2,1000,9,125,1081,57.71,143,3
6,0,0,2,1000,7,115,1255,57.79,56,3
7,0,0,2,1000,8,124,1138,57.86,56,3
8,0,0,2,1000,5,123,1081,57.89,1.7,3
9,0,0,2,1000,11,117,1003,57.99,44,3
10,0,0,2,1000,2,116,1030,58.13,192,3
11,0,0,2,1000,3,121,1121,59.08,5.7,3
12,0,0,2,1000,14,125,1166,59.36,280,3
13,0,0,2,1000,4,126,1115,59.58,58,3
14,0,0,2,1000,1,120,1155,59.81,55,3
1,0,1,2,1200,4,123,1213,67.99,1.8,3
2,0,1,2,1200,10,121,1201,68.51,6.5,3
3,0,1,2,1200,12,118,1016,68.59,46,3
4,0,1,2,1200,5,115,1164,68.66,5.4,3
5,0,1,2,1200,7,122,1233,68.93,7,3
6,0,1,2,1200,2,129,1170,69.4,11,3
7,0,1,2,1200,1,128,1336,69.59,31,3
8,0,1,2,1200,9,122,1109,69.79,157,3
9,0,1,2,1200,3,128,1043,69.8,40,3
10,0,1,2,1200,8,133,1049,70.29,89,3
11,0,1,2,1200,11,124,1175,70.33,84,3
12,0,1,2,1200,6,129,1181,71.26,176,3
1,0,0,2,1400,2,121,1078,82.09,2,3
2,0,0,2,1400,1,115,1071,82.24,9.1,3
3,0,0,2,1400,9,115,1080,82.27,6.8,3
4,0,0,2,1400,14,123,1133,82.28,7.1,3
5,0,0,2,1400,7,126,1048,82.31,31,3
6,0,0,2,1400,8,116,1176,82.36,12,3
7,0,0,2,1400,6,117,1243,82.53,162,3
8,0,0,2,1400,11,121,1129,82.58,136,3
9,0,0,2,1400,5,120,1187,82.59,31,3
10,0,0,2,1400,13,128,1140,82.81,48,3
11,0,0,2,1400,10,133,1133,83.28,112,3
12,0,0,2,1400,4,120,1154,83.33,27,3
13,0,0,2,1400,3,133,1091,83.44,9.7,3
14,0,0,2,1400,12,124,1117,84.14,149,3
1,0,0,2,1000,10,114,1075,57.21,3.7,4
2,0,0,2,1000,13,125,1058,57.51,228,4
3,0,0,2,1000,14,131,1193,57.6,6.4,4
4,0,0,2,1000,6,133,1080,57.68,28,4
5,0,0,2,1000,12,115,1107,57.75,13,4
6,0,0,2,1000,4,123,1126,58.02,24,4
7,0,0,2,1000,7,114,1194,58.03,170,4
8,0,0,2,1000,3,118,1165,58.06,21,4
9,0,0,2,1000,2,125,1132,58.13,28,4
10,0,0,2,1000,8,125,1188,58.48,42,4
11,0,0,2,1000,1,125,1174,58.57,7.1,4
12,0,0,2,1000,5,125,1072,58.66,43,4
13,0,0,2,1000,11,122,1096,59.32,14,4
14,0,0,2,1000,9,125,1172,59.58,3.4,4
1,0,0,2,1400,13,132,1174,82.23,7.3,4
2,0,0,2,1400,5,124,1025,82.32,7.6,4
3,0,0,2,1400,10,129,1054,82.33,3.2,4
4,0,0,2,1400,8,119,1127,82.58,8.2,4
5,0,0,2,1400,7,120,1177,82.68,45,4
6,0,0,2,1400,4,123,1114,82.75,9.3,4
7,0,0,2,1400,14,125,1151,82.75,10,4
8,0,0,2,1400,1,122,1099,82.8,7.3,4
9,0,0,2,1400,6,116,1083,82.88,39,4
10,0,0,2,1400,12,113,1159,83.05,23,4
11,0,0,2,1400,11,125,1041,84.62,58,4
12,0,0,2,1400,2,131,1066,85.18,154,4
13,0,0,2,1400,9,123,1153,85.35,131,4
14,0,0,2,1400,3,121,1069,85.91,20,4
1,0,0,2,1200,5,124,1123,69.74,2.5,3
2,0,0,2,1200,6,124,1167,69.84,4,3
3,0,0,2,1200,12,113,1294,69.94,40,3
4,0,0,2,1200,1,120,1148,70.02,16,3
5,0,0,2,1200,3,117,1049,70.02,39,3
6,0,0,2,1200,2,113,1121,70.13,74,3
7,0,0,2,1200,9,122,1197,70.16,108,3
8,0,0,2,1200,8,122,1092,70.3,43,3
9,0,0,2,1200,11,119,1240,70.43,2.9,3
10,0,0,2,1200,14,118,1136,70.46,35,3
11,0,0,2,1200,7,123,1126,70.59,221,3
12,0,0,2,1200,4,126,1102,70.62,147,3
13,0,0,2,1200,13,122,981,70.76,38,3
14,0,0,2,1200,10,123,1215,70.92,164,3
1,0,0,2,1400,7,129,1090,82.77,1.4,2
2,0,0,2,1400,3,130,1258,82.8,6.3,2
3,0,0,2,1400,2,129,1124,83.06,21,2
4,0,0,2,1400,1,119,1081,83.1,5.4,2
5,0,0,2,1400,4,122,1125,83.19,97,2
6,0,0,2,1400,5,118,1008,83.2,28,2
7,0,0,2,1400,9,122,993,83.33,98,2
8,0,0,2,1400,8,125,1197,83.34,20,2
9,0,0,2,1400,10,118,1133,83.52,154,2
10,0,0,2,1400,6,121,1125,83.72,230,2
1,0,0,2,1400,8,126,1134,81.03,1.2,11
2,0,0,2,1400,1,126,1102,81.33,5.6,11
3,0,0,2,1400,7,126,1277,81.37,10,11
4,0,0,2,1400,5,126,1136,81.5,30,11
5,0,0,2,1400,2,126,1045,81.68,48,11
6,0,0,2,1400,6,126,1334,81.91,40,11
7,0,0,2,1400,9,126,1172,82.2,41,11
8,0,0,2,1400,4,126,1125,82.24,42,11
9,0,0,2,1400,3,126,1146,82.68,80,11
10,0,0,2,1400,10,126,1056,82.72,68,11
1,0,0,2,2000,9,126,1057,120.87,2.1,11
2,0,0,2,2000,4,126,1173,121.1,57,11
3,0,0,2,2000,2,126,1058,121.6,32,11
4,0,0,2,2000,8,126,1111,121.62,10,11
5,0,0,2,2000,5,126,1159,121.68,4.2,11
6,0,0,2,2000,7,126,1097,121.72,8.5,11
7,0,0,2,2000,3,126,1148,121.81,41,11
8,0,0,2,2000,1,126,1010,121.84,37,11
9,0,0,2,2000,6,126,1090,121.85,34,11
10,0,0,2,2000,11,126,1178,122,8.1,11
11,0,0,2,2000,10,126,1241,122.34,26,11
1,0,0,2,1400,1,112,1069,81.89,3,3
2,0,0,2,1400,12,128,1151,81.9,3.3,3
3,0,0,2,1400,14,121,1146,82.21,40,3
4,0,0,2,1400,11,133,1250,82.46,7.7,3
5,0,0,2,1400,10,120,1170,82.53,26,3
6,0,0,2,1400,3,123,1063,82.62,8.7,3
7,0,0,2,1400,9,125,1095,82.84,28,3
8,0,0,2,1400,7,118,1177,82.86,21,3
9,0,0,2,1400,6,129,1150,82.89,6.8,3
10,0,0,2,1400,13,127,1169,83,79,3
11,0,0,2,1400,5,126,997,83.13,57,3
12,0,0,2,1400,8,124,1085,83.6,184,3
13,0,0,2,1400,2,133,1072,86.82,254,3
1,0,0,2,1800,10,126,1248,107,92,3
2,0,0,2,1800,5,126,1109,107.16,1.9,3
3,0,0,2,1800,8,126,1079,107.31,13,3
4,0,0,2,1800,12,126,1089,107.39,3.8,3
5,0,0,2,1800,4,126,1065,107.5,19,3
6,0,0,2,1800,11,126,1057,107.64,22,3
7,0,0,2,1800,7,126,1018,107.72,9.7,3
8,0,0,2,1800,3,126,1035,107.74,73,3
9,0,0,2,1800,6,126,1043,107.93,16,3
10,0,0,2,1800,2,126,1087,108.14,60,3
11,0,0,2,1800,14,126,1064,108.23,217,3
12,0,0,2,1800,1,126,1122,108.23,68,3
13,0,0,2,1800,9,126,1052,108.35,91,3
14,0,0,2,1800,13,126,1196,108.97,44,3
1,0,0,2,1400,9,123,1133,82.22,22,3
2,0,0,2,1400,12,127,1156,82.3,7.5,3
3,0,0,2,1400,7,121,1198,82.58,23,3
4,0,0,2,1400,11,120,1143,82.81,136,3
5,0,0,2,1400,14,125,1033,82.81,39,3
6,0,0,2,1400,4,121,1203,82.85,10,3
7,0,0,2,1400,8,123,1162,82.87,2,3
8,0,0,2,1400,3,126,1143,82.89,6.9,3
9,0,0,2,1400,2,133,1078,82.91,11,3
10,0,0,2,1400,1,113,1113,83,70,3
11,0,0,2,1400,13,130,1063,83.02,96,3
12,0,0,2,1400,5,117,1149,83.03,36,3
13,0,0,2,1400,6,130,996,83.28,48,3
14,0,0,2,1400,10,130,1123,83.53,13,3
1,0,0,2,1600,2,120,1055,94.54,1.8,2
2,0,0,2,1600,4,116,1087,95.23,11,2
3,0,0,2,1600,1,121,1227,95.35,12,2
4,0,0,2,1600,3,110,1080,95.48,10,2
5,0,0,2,1600,5,121,1139,95.48,2.7,2
6,0,0,2,1600,6,131,1182,95.65,26,2
1,0,0,2,1200,1,124,1206,70.1,2.7,4
2,0,0,2,1200,11,122,1075,70.36,13,4
3,0,0,2,1200,4,122,1208,70.41,4.4,4
4,0,0,2,1200,5,127,1006,70.51,5.3,4
5,0,0,2,1200,14,122,1193,70.6,8,4
6,0,0,2,1200,9,124,1044,70.61,9.5,4
7,0,0,2,1200,13,133,1115,70.68,26,4
8,0,0,2,1200,12,124,1092,70.68,122,4
9,0,0,2,1200,10,126,1123,71,61,4
10,0,0,2,1200,2,124,1084,71,51,4
11,0,0,2,1200,6,126,1073,71.06,269,4
12,0,0,2,1200,7,126,1142,71.24,151,4
13,0,0,2,1200,3,126,1117,72.7,49,4
14,0,0,2,1200,8,126,1125,74.7,205,4
1,0,0,2,1400,3,133,1205,82.11,4.8,4
2,0,0,2,1400,6,126,1227,82.48,7.3,4
3,0,0,2,1400,1,130,1194,82.57,3.2,4
4,0,0,2,1400,8,121,995,82.82,21,4
5,0,0,2,1400,14,120,1084,82.88,249,4
6,0,0,2,1400,7,123,1108,82.92,83,4
7,0,0,2,1400,2,110,1103,83.04,197,4
8,0,0,2,1400,5,119,1080,83.08,67,4
9,0,0,2,1400,9,129,1047,83.1,11,4
10,0,0,2,1400,11,121,1271,83.18,21,4
11,0,0,2,1400,12,125,1115,83.21,6,4
12,0,0,2,1400,4,131,1245,83.26,144,4
13,0,0,2,1400,10,122,1051,83.41,80,4
14,0,0,2,1400,13,130,1001,83.44,6.3,4
1,0,1,2,1650,3,133,1074,98.3,3.2,4
2,0,1,2,1650,5,131,1104,98.9,6.4,4
3,0,1,2,1650,2,117,1157,98.95,4.4,4
4,0,1,2,1650,1,116,1147,99.21,10,4
5,0,1,2,1650,9,132,1065,99.68,14,4
6,0,1,2,1650,4,120,1136,99.79,25,4
7,0,1,2,1650,11,117,1065,99.85,80,4
8,0,1,2,1650,13,128,1132,100.07,18,4
9,0,1,2,1650,10,116,1077,100.08,94,4
10,0,1,2,1650,8,125,1032,100.26,210,4
11,0,1,2,1650,6,118,1151,100.26,21,4
12,0,1,2,1650,14,128,993,100.37,111,4
13,0,1,2,1650,7,118,1137,101.22,23,4
14,0,1,2,1650,12,110,1088,101.97,7.5,4
1,0,0,2,1600,3,129,1124,96.01,2.2,4
2,0,0,2,1600,11,115,1213,96.09,16,4
3,0,0,2,1600,9,124,1099,96.09,10,4
4,0,0,2,1600,5,119,1078,96.16,77,4
5,0,0,2,1600,8,122,1177,96.24,18,4
6,0,0,2,1600,12,126,1122,96.3,49,4
7,0,0,2,1600,14,114,993,96.31,38,4
8,0,0,2,1600,1,133,1112,96.46,2.9,4
9,0,0,2,1600,7,122,1089,96.63,42,4
10,0,0,2,1600,2,125,1147,96.79,10,4
11,0,0,2,1600,10,130,1092,96.92,146,4
12,0,0,2,1600,4,118,1055,96.95,38,4
13,0,0,2,1600,6,112,1233,97.17,341,4
14,0,0,2,1600,13,120,1029,97.38,373,4
1,0,0,2,1000,8,118,1059,56.6,2.2,2
2,0,0,2,1000,5,127,1101,56.75,12,2
3,0,0,2,1000,7,118,1149,56.78,5.4,2
4,0,0,2,1000,9,128,1132,56.95,26,2
5,0,0,2,1000,6,115,1108,56.96,106,2
6,0,0,2,1000,1,118,1091,57.07,80,2
7,0,0,2,1000,3,119,1088,57.12,13,2
8,0,0,2,1000,11,120,1100,57.24,5.1,2
9,0,0,2,1000,2,116,1080,57.43,41,2
10,0,0,2,1000,4,124,1137,57.57,37,2
11,0,0,2,1000,10,121,1216,57.62,45,2
12,0,0,2,1000,12,123,1139,57.85,11,2
1,0,0,2,2000,1,133,1140,122.4,2.1,3
2,0,0,2,2000,2,131,1101,122.5,5.7,3
3,0,0,2,2000,5,131,1043,122.53,6.8,3
4,0,0,2,2000,13,116,1193,122.55,17,3
5,0,0,2,2000,4,129,1093,122.63,96,3
6,0,0,2,2000,11,117,1171,122.82,12,3
7,0,0,2,2000,9,121,1007,122.83,38,3
8,0,0,2,2000,7,125,1043,123.06,121,3
9,0,0,2,2000,14,130,1060,123.24,38,3
10,0,0,2,2000,8,123,1116,123.27,78,3
11,0,0,2,2000,12,118,996,123.62,82,3
12,0,0,2,2000,6,126,1165,123.7,6,3
13,0,0,2,2000,3,117,1219,123.86,183,3
14,0,0,2,2000,10,130,1208,124.52,43,3
1,0,0,2,1200,5,131,1139,69.49,1.2,3
2,0,0,2,1200,10,120,1201,69.62,7.6,3
3,0,0,2,1200,11,122,1151,69.94,32,3
4,0,0,2,1200,13,120,1110,69.95,15,3
5,0,0,2,1200,9,114,1128,70.17,37,3
6,0,0,2,1200,2,114,1074,70.28,176,3
7,0,0,2,1200,14,128,1138,70.28,213,3
8,0,0,2,1200,3,118,1195,70.44,82,3
9,0,0,2,1200,4,119,1147,70.51,93,3
10,0,0,2,1200,6,119,1106,70.56,95,3
11,0,0,2,1200,1,116,1103,70.75,54,3
12,0,0,2,1200,12,131,1122,70.88,98,3
13,0,0,2,1200,7,117,1137,70.97,19,3
14,0,0,2,1200,8,123,1183,71.23,209,3
1,0,1,2,1650,4,130,1255,97.76,7,3
2,0,1,2,1650,10,132,1101,97.8,2.1,3
3,0,1,2,1650,5,122,1204,99.03,13,3
4,0,1,2,1650,11,114,1109,99.26,20,3
5,0,1,2,1650,13,129,1099,99.32,39,3
6,0,1,2,1650,14,113,1174,99.45,24,3
7,0,1,2,1650,7,117,1045,99.49,9.4,3
8,0,1,2,1650,2,112,1153,99.62,30,3
9,0,1,2,1650,3,127,1109,99.65,7,3
10,0,1,2,1650,6,117,1147,99.67,18,3
11,0,1,2,1650,1,128,1152,99.69,41,3
12,0,1,2,1650,8,126,1046,100.11,125,3
13,0,1,2,1650,12,123,1222,100.72,35,3
14,0,1,2,1650,9,122,1042,100.99,70,3
1,0,1,2,1200,11,118,1135,68.9,7.4,5
2,0,1,2,1200,10,115,1163,69.26,19,5
3,0,1,2,1200,1,126,1027,69.32,8.7,5
4,0,1,2,1200,8,113,1084,69.34,10,5
5,0,1,2,1200,3,122,1041,69.68,3.5,5
6,0,1,2,1200,7,123,1073,69.93,6.9,5
7,0,1,2,1200,5,133,1255,70.11,3.4,5
8,0,1,2,1200,6,128,1132,70.15,168,5
9,0,1,2,1200,9,116,1105,70.16,113,5
10,0,1,2,1200,4,122,1103,70.28,167,5
11,0,1,2,1200,2,124,1118,71.53,51,5
12,0,1,2,1200,12,127,1032,71.54,16,5
1,0,0,2,1400,7,112,1090,82.74,71,4
2,0,0,2,1400,1,123,1119,82.78,4.1,4
3,0,0,2,1400,4,123,1154,82.91,19,4
4,0,0,2,1400,9,128,1022,83.09,28,4
5,0,0,2,1400,3,113,1170,83.24,8,4
6,0,0,2,1400,12,122,1081,83.42,20,4
7,0,0,2,1400,6,129,1138,83.43,4.5,4
8,0,0,2,1400,14,120,1131,83.44,3.4,4
9,0,0,2,1400,10,133,1193,83.49,31,4
10,0,0,2,1400,13,119,1147,83.5,21,4
11,0,0,2,1400,8,112,1158,83.56,113,4
12,0,0,2,1400,5,124,1148,83.65,10,4
13,0,0,2,1400,11,120,1154,84.29,373,4
14,0,0,2,1400,2,125,1029,84.32,341,4
1,0,0,2,1400,4,126,1097,82.6,2.9,4
2,0,0,2,1400,10,114,1089,82.66,68,4
3,0,0,2,1400,3,122,1225,82.83,2.7,4
4,0,0,2,1400,13,129,1052,82.89,28,4
5,0,0,2,1400,11,115,1166,82.92,28,4
6,0,0,2,1400,1,120,1074,83.04,170,4
7,0,0,2,1400,2,116,1087,83.05,8.5,4
8,0,0,2,1400,12,115,1105,83.13,89,4
9,0,0,2,1400,5,120,1062,83.14,9.7,4
10,0,0,2,1400,6,127,1076,83.19,168,4
11,0,0,2,1400,7,119,1066,83.35,16,4
12,0,0,2,1400,8,122,1156,83.64,139,4
13,0,0,2,1400,14,130,1023,83.65,246,4
14,0,0,2,1400,9,128,1044,83.71,10,4
1,0,0,2,1200,5,125,1059,69.89,69,4
2,0,0,2,1200,4,127,1239,69.96,6,4
3,0,0,2,1200,3,124,1172,70.02,21,4
4,0,0,2,1200,11,125,1122,70.11,5.8,4
5,0,0,2,1200,9,125,1211,70.18,7.2,4
6,0,0,2,1200,2,133,1144,70.52,1.7,4
7,0,0,2,1200,7,124,1105,70.67,19,4
8,0,0,2,1200,6,122,1067,70.7,325,4
9,0,0,2,1200,8,112,1094,70.8,57,4
10,0,0,2,1200,1,116,1123,71.01,59,4
11,0,0,2,1200,12,125,1076,71.11,120,4
12,0,0,2,1200,10,128,1241,71.2,96,4
1,0,1,2,1200,9,117,1003,68.83,17,3
2,0,1,2,1200,11,127,1134,68.98,15,3
3,0,1,2,1200,4,130,1147,69.02,9.2,3
4,0,1,2,1200,7,119,1098,69.06,23,3
5,0,1,2,1200,2,122,1156,69.1,10,3
6,0,1,2,1200,1,116,1236,69.15,9,3
7,0,1,2,1200,6,114,1158,69.16,3,3
8,0,1,2,1200,10,123,1221,69.38,12,3
9,0,1,2,1200,8,127,1022,69.47,3.7,3
10,0,1,2,1200,12,131,1321,69.69,44,3
11,0,1,2,1200,3,121,1025,69.96,47,3
12,0,1,2,1200,5,125,1078,70.03,99,3
1,0,0,2,1200,6,121,1183,69.54,7.9,3
2,0,0,2,1200,5,133,1059,69.69,5.8,3
3,0,0,2,1200,3,119,1234,69.81,3,3
4,0,0,2,1200,10,117,1056,70.18,12,3
5,0,0,2,1200,8,124,1056,70.24,38,3
6,0,0,2,1200,11,119,1154,70.38,13,3
7,0,0,2,1200,9,132,1161,70.46,25,3
8,0,0,2,1200,4,122,1118,70.63,33,3
9,0,0,2,1200,1,125,1146,70.75,23,3
10,0,0,2,1200,2,118,1181,71.18,79,3
11,0,0,2,1200,12,120,1126,71.32,163,3
12,0,0,2,1200,7,129,1121,73.68,3.6,3
1,0,0,2,1400,6,123,1060,82.28,3.5,3
2,0,0,2,1400,7,116,1043,82.29,6.2,3
3,0,0,2,1400,8,122,1027,82.49,5.2,3
4,0,0,2,1400,10,115,1044,82.57,7.4,3
5,0,0,2,1400,14,123,1153,82.64,7.4,3
6,0,0,2,1400,11,127,1139,82.64,151,3
7,0,0,2,1400,3,126,1103,82.66,122,3
8,0,0,2,1400,2,125,1299,82.85,46,3
9,0,0,2,1400,9,129,1147,82.87,23,3
10,0,0,2,1400,1,120,1150,82.96,11,3
11,0,0,2,1400,5,117,1195,82.98,47,3
12,0,0,2,1400,12,123,1125,83.25,11,3
13,0,0,2,1400,13,126,1096,83.5,161,3
14,0,0,2,1400,4,133,1133,84.68,39,3
1,0,0,2,1800,12,133,1096,106.74,2.5,2
2,0,0,2,1800,6,120,1115,107,20,2
3,0,0,2,1800,7,124,1040,107.02,4.9,2
4,0,0,2,1800,11,118,1055,107.14,17,2
5,0,0,2,1800,1,119,991,107.34,17,2
6,0,0,2,1800,8,123,1118,107.46,8.2,2
7,0,0,2,1800,10,122,1155,107.55,24,2
8,0,0,2,1800,5,117,1059,107.63,50,2
9,0,0,2,1800,4,116,1043,107.65,23,2
10,0,0,2,1800,2,115,1177,107.69,18,2
11,0,0,2,1800,9,117,1018,108,7.5,2
12,0,0,2,1800,3,110,1064,108.12,29,2
1,0,0,2,1400,14,132,1085,82.14,2.2,3
2,0,0,2,1400,3,122,1193,82.53,30,3
3,0,0,2,1400,4,126,1132,82.58,3.9,3
4,0,0,2,1400,10,120,1063,82.66,18,3
5,0,0,2,1400,12,118,1144,82.7,38,3
6,0,0,2,1400,8,128,1137,82.71,11,3
7,0,0,2,1400,9,125,1050,82.76,57,3
8,0,0,2,1400,2,130,1048,82.76,11,3
9,0,0,2,1400,11,125,1179,83.07,55,3
10,0,0,2,1400,1,128,1133,83.09,6.5,3
11,0,0,2,1400,6,115,1060,83.43,104,3
12,0,0,2,1400,13,118,1145,83.45,186,3
13,0,0,2,1400,5,130,1114,83.97,106,3
1,0,1,4,1800,2,118,1095,110.59,5.9,4
2,0,1,4,1800,3,131,1108,110.64,4.3,4
3,0,1,4,1800,11,108,993,111.05,14,4
4,0,1,4,1800,7,115,1080,111.3,65,4
5,0,1,4,1800,6,133,1118,111.41,14,4
6,0,1,4,1800,5,124,1025,111.58,118,4
7,0,1,4,1800,1,126,1153,112.15,11,4
8,0,1,4,1800,4,121,1070,112.41,34,4
9,0,1,4,1800,10,122,1040,113.06,2.9,4
10,0,1,4,1800,8,133,1113,114.86,7.7,4
11,0,1,4,1800,9,132,1065,116.36,18,4
1,0,0,2,1400,11,118,1111,83.03,9,4
2,0,0,2,1400,10,131,1198,83.04,3.5,4
3,0,0,2,1400,6,118,1161,83.17,3.2,4
4,0,0,2,1400,4,127,1024,83.52,3.9,4
5,0,0,2,1400,7,123,1007,83.86,19,4
6,0,0,2,1400,1,111,1125,84.18,29,4
7,0,0,2,1400,5,121,1008,84.19,77,4
8,0,0,2,1400,9,114,1017,84.21,27,4
9,0,0,2,1400,8,133,1081,84.25,10,4
10,0,0,2,1400,3,124,1063,84.86,95,4
11,0,0,2,1400,2,121,1147,85.77,49,4
1,0,0,2,1400,2,128,1144,83.25,4.5,4
2,0,0,2,1400,1,131,1148,83.46,5.4,4
3,0,0,2,1400,12,124,1086,83.51,12,4
4,0,0,2,1400,8,122,1113,83.58,3.2,4
5,0,0,2,1400,10,118,1153,83.58,8.3,4
6,0,0,2,1400,5,122,1159,83.6,21,4
7,0,0,2,1400,9,119,1081,83.98,11,4
8,0,0,2,1400,6,117,1143,84.6,36,4
9,0,0,2,1400,7,118,1075,84.77,12,4
10,0,0,2,1400,3,124,1075,84.84,117,4
11,0,0,2,1400,11,126,1242,85.16,148,4
12,0,0,2,1400,4,120,1121,85.24,29,4
1,0,0,2,1000,5,113,1156,57.02,2,3
2,0,0,2,1000,6,113,1296,57.14,3.6,3
3,0,0,2,1000,3,124,1129,57.31,13,3
4,0,0,2,1000,8,122,1023,57.72,37,3
5,0,0,2,1000,7,123,1126,57.88,37,3
6,0,0,2,1000,4,122,1146,57.92,8.7,3
7,0,0,2,1000,9,117,1103,58.14,14,3
8,0,0,2,1000,10,120,1140,58.8,32,3
9,0,0,2,1000,1,118,1219,59.2,41,3
10,0,0,2,1000,11,127,1122,59.72,17,3
11,0,0,2,1000,2,133,1105,59.88,67,3
1,0,1,4,1200,7,126,1201,69.23,2.5,4
2,0,1,4,1200,2,131,1054,70.01,6.8,4
3,0,1,4,1200,6,126,1066,70.23,4.7,4
4,0,1,4,1200,3,124,1003,70.62,20,4
5,0,1,4,1200,4,119,1165,70.78,27,4
6,0,1,4,1200,1,129,1052,70.84,30,4
7,0,1,4,1200,8,121,1215,70.95,9.2,4
8,0,1,4,1200,9,115,1189,71,53,4
9,0,1,4,1200,10,127,1068,71.1,16,4
10,0,1,4,1200,5,118,1103,71.14,10,4
11,0,1,4,1200,12,122,1173,71.3,22,4
12,0,1,4,1200,11,122,1168,71.37,55,4
1,0,1,4,1200,2,130,1015,69.76,2.2,4
2,0,1,4,1200,12,131,1120,70.16,4.4,4
3,0,1,4,1200,9,119,1268,70.24,9.1,4
4,0,1,4,1200,7,122,1117,70.64,9.5,4
5,0,1,4,1200,5,124,1093,70.67,44,4
6,0,1,4,1200,10,117,1070,70.73,25,4
7,0,1,4,1200,8,133,1185,71.04,11,4
8,0,1,4,1200,1,123,1025,71.44,172,4
9,0,1,4,1200,11,121,1060,71.48,20,4
10,0,1,4,1200,4,120,1126,71.86,49,4
11,0,1,4,1200,3,121,1112,71.91,13,4
12,0,1,4,1200,6,115,1198,72.22,46,4
1,0,0,2,1600,9,120,1088,94.56,9.3,1
2,0,0,2,1600,4,126,1145,94.59,2.5,1
3,0,0,2,1600,6,128,1060,94.79,48,1
4,0,0,2,1600,2,128,1334,94.87,21,1
5,0,0,2,1600,3,133,1043,94.92,32,1
6,0,0,2,1600,7,116,1194,95.08,8.8,1
7,0,0,2,1600,1,128,1116,95.13,2.6,1
8,0,0,2,1600,5,113,1259,95.15,9.2,1
9,0,0,2,1600,8,112,1176,95.31,83,1
1,0,1,4,1650,4,127,1257,98.8,8.6,2
2,0,1,4,1650,5,128,1106,98.93,6.9,2
3,0,1,4,1650,11,126,1106,99.38,3.1,2
4,0,1,4,1650,7,131,1127,99.49,2.2,2
5,0,1,4,1650,10,124,1165,99.95,39,2
6,0,1,4,1650,3,123,1251,100.16,17,2
7,0,1,4,1650,6,131,1118,100.69,33,2
8,0,1,4,1650,8,118,1009,101.02,45,2
9,0,1,4,1650,9,121,1123,101.14,85,2
10,0,1,4,1650,2,113,1103,101.32,41,2
11,0,1,4,1650,1,131,1224,103.12,117,2
1,0,0,2,1200,12,125,1091,69.54,2.5,3
2,0,0,2,1200,11,119,1045,69.91,3.8,3
3,0,0,2,1200,6,123,1132,70.03,66,3
4,0,0,2,1200,10,127,1092,70.12,9.6,3
5,0,0,2,1200,5,126,1028,70.15,11,3
6,0,0,2,1200,8,119,1109,70.29,47,3
7,0,0,2,1200,1,131,1086,70.37,5.9,3
8,0,0,2,1200,4,124,1085,70.55,30,3
9,0,0,2,1200,2,119,1176,70.57,280,3
10,0,0,2,1200,7,115,1152,70.82,58,3
11,0,0,2,1200,3,125,1109,71.04,10,3
12,0,0,2,1200,9,124,1210,71.53,108,3
1,0,0,2,1600,9,119,1117,95.27,14,3
2,0,0,2,1600,6,124,1084,95.28,7.2,3
3,0,0,2,1600,1,112,1051,95.35,22,3
4,0,0,2,1600,3,115,1202,95.38,6,3
5,0,0,2,1600,12,130,1256,95.39,21,3
6,0,0,2,1600,11,123,1167,95.52,2.2,3
7,0,0,2,1600,14,116,1175,95.54,27,3
8,0,0,2,1600,10,116,1156,95.57,13,3
9,0,0,2,1600,7,125,1079,95.73,18,3
10,0,0,2,1600,8,112,1041,95.79,39,3
11,0,0,2,1600,2,124,1103,96.15,108,3
12,0,0,2,1600,5,117,1232,96.66,32,3
13,0,0,2,1600,4,128,1015,97.56,17,3
14,0,0,2,1600,13,120,1198,97.96,244,3
1,0,0,2,1200,5,123,1041,69.41,4.8,3
2,0,0,2,1200,2,129,1144,69.73,10,3
3,0,0,2,1200,9,114,1175,69.79,10,3
4,0,0,2,1200,4,123,1169,69.84,22,3
5,0,0,2,1200,3,118,1130,69.97,5,3
6,0,0,2,1200,12,119,1175,70.06,113,3
7,0,0,2,1200,7,133,1107,70.1,14,3
8,0,0,2,1200,11,123,1116,70.12,5.7,3
9,0,0,2,1200,1,116,1103,70.16,27,3
10,0,0,2,1200,8,117,1244,70.24,3.6,3
11,0,0,2,1200,10,113,1178,70.55,237,3
12,0,0,2,1200,6,123,1191,72.47,100,3
1,0,0,2,1200,13,130,1016,69.79,6.4,4
2,0,0,2,1200,2,128,1108,69.8,2.3,4
3,0,0,2,1200,11,125,1175,69.9,12,4
4,0,0,2,1200,5,119,1169,69.98,7.5,4
5,0,0,2,1200,1,126,1026,70.16,19,4
6,0,0,2,1200,4,118,1165,70.26,16,4
7,0,0,2,1200,8,122,1192,70.26,40,4
8,0,0,2,1200,3,125,1142,70.37,25,4
9,0,0,2,1200,12,126,1251,70.46,51,4
10,0,0,2,1200,10,121,1059,70.46,73,4
11,0,0,2,1200,7,128,1192,70.55,27,4
12,0,0,2,1200,14,125,1151,70.85,237,4
13,0,0,2,1200,6,126,1060,71.19,6.6,4
14,0,0,2,1200,9,123,1022,71.37,92,4
1,0,0,2,1600,9,132,1046,94.82,3.8,4
2,0,0,2,1600,4,116,1210,95.29,5,4
3,0,0,2,1600,13,129,1063,95.4,13,4
