Pla,Loc,Track,Going,Dist,Draw,JW,AW,Time,WOdd,Class
11,0,0,1,1400,5,131,1033,85.3,29,5
1,0,0,1,1200,7,133,1111,69.4,2.9,4
2,0,0,1,1200,4,115,1035,69.56,11,4
3,0,0,1,1200,2,129,1060,69.57,11,4
4,0,0,1,1200,5,127,1125,69.59,2.9,4
5,0,0,1,1200,9,127,1131,69.84,15,4
6,0,0,1,1200,1,114,1054,69.98,26,4
7,0,0,1,1200,3,130,1063,69.99,37,4
8,0,0,1,1200,8,124,1176,70.01,5.3,4
9,0,0,1,1200,10,115,1063,70.24,105,4
10,0,0,1,1200,6,112,1051,72.41,28,4
1,0,1,2,1200,6,114,1208,70.06,9.2,4
2,0,1,2,1200,9,120,1193,70.15,14,4
3,0,1,2,1200,7,118,1257,70.52,5.3,4
4,0,1,2,1200,1,113,1204,70.68,6.3,4
5,0,1,2,1200,4,128,1118,70.83,3.8,4
6,0,1,2,1200,5,127,1157,71.02,6.2,4
7,0,1,2,1200,3,124,1094,71.08,8.7,4
8,0,1,2,1200,8,120,1081,71.16,21,4
9,0,1,2,1200,2,126,1114,71.61,9.6,4
1,0,0,1,1600,5,131,1009,94.41,24,4
2,0,0,1,1600,10,119,1071,94.52,14,4
3,0,0,1,1600,7,123,1118,94.72,13,4
4,0,0,1,1600,6,130,1048,95.02,17,4
5,0,0,1,1600,4,129,1141,95.06,6.4,4
6,0,0,1,1600,9,128,1123,95.19,11,4
7,0,0,1,1600,2,115,1089,95.65,7.6,4
8,0,0,1,1600,3,126,1145,95.8,2.6,4
9,0,0,1,1600,1,120,1169,96.52,7.1,4
10,0,0,1,1600,8,110,1081,96.73,12,4
1,0,0,1,1400,1,117,1238,82.34,8.4,4
2,0,0,1,1400,5,126,979,82.36,4.2,4
3,0,0,1,1400,6,133,1080,82.57,2.5,4
4,0,0,1,1400,3,122,1071,82.86,134,4
5,0,0,1,1400,4,131,1114,82.95,4.3,4
6,0,0,1,1400,8,119,1095,82.97,34,4
7,0,0,1,1400,9,126,1128,83.16,9.8,4
8,0,0,1,1400,11,119,1043,83.54,145,4
9,0,0,1,1400,7,120,1174,83.6,64,4
10,0,0,1,1400,10,122,1177,83.76,17,4
11,0,0,1,1400,2,126,1016,84.13,49,4
1,0,1,2,1200,10,126,1087,69.34,11,3
2,0,1,2,1200,3,133,1145,69.45,8,3
3,0,1,2,1200,8,119,1196,69.53,3.2,3
4,0,1,2,1200,2,129,1131,69.91,15,3
5,0,1,2,1200,12,124,1254,69.97,14,3
6,0,1,2,1200,7,116,1155,70.17,37,3
7,0,1,2,1200,11,129,1112,70.21,9.4,3
8,0,1,2,1200,6,132,1179,70.65,19,3
9,0,1,2,1200,9,113,1026,71.4,110,3
10,0,1,2,1200,5,129,1140,71.55,15,3
11,0,1,2,1200,1,126,1131,72.26,8.1,3
12,0,1,2,1200,4,126,1167,73.34,5.8,3
1,0,0,1,1200,2,121,1087,69.27,14,3
2,0,0,1,1200,1,116,1205,69.61,7.7,3
3,0,0,1,1200,3,116,1267,69.65,1.9,3
4,0,0,1,1200,8,126,1106,69.68,22,3
5,0,0,1,1200,5,133,1163,69.76,4.6,3
6,0,0,1,1200,4,125,1053,69.81,9.9,3
7,0,0,1,1200,7,127,1125,69.94,81,3
8,0,0,1,1200,11,131,1127,70.16,169,3
9,0,0,1,1200,6,109,1051,70.39,28,3
10,0,0,1,1200,10,121,1125,70.65,74,3
11,0,0,1,1200,12,125,1045,70.97,16,3
12,0,0,1,1200,9,121,1130,71.96,212,3
1,0,1,2,1200,7,130,1176,69.73,11,5
2,0,1,2,1200,5,119,1163,69.87,9.4,5
3,0,1,2,1200,4,120,1139,70.01,7.8,5
4,0,1,2,1200,2,128,1099,70.04,10,5
5,0,1,2,1200,12,125,1080,70.32,7.6,5
6,0,1,2,1200,6,129,988,70.44,5.7,5
7,0,1,2,1200,9,123,1035,70.56,10,5
8,0,1,2,1200,10,127,1206,70.59,7.8,5
9,0,1,2,1200,3,117,1061,70.76,24,5
10,0,1,2,1200,1,124,1149,70.8,22,5
11,0,1,2,1200,11,131,1054,71.53,27,5
12,0,1,2,1200,8,128,1123,71.69,7.2,5
1,0,0,2,1200,1,122,1257,69.5,8.6,4
2,0,0,2,1200,14,117,1116,69.64,12,4
3,0,0,2,1200,7,133,1080,69.81,7,4
4,0,0,2,1200,10,126,1175,69.95,19,4
5,0,0,2,1200,2,119,1188,69.99,11,4
6,0,0,2,1200,5,125,1088,70.09,7.4,4
7,0,0,2,1200,4,116,1131,70.28,76,4
8,0,0,2,1200,13,131,1103,70.61,25,4
9,0,0,2,1200,12,122,1185,70.74,3.6,4
10,0,0,2,1200,3,123,1066,70.79,58,4
11,0,0,2,1200,9,118,1181,70.98,104,4
12,0,0,2,1200,8,131,1174,71.03,6.7,4
13,0,0,2,1200,6,129,1051,71.08,72,4
14,0,0,2,1200,11,125,1076,71.37,12,4
1,0,0,1,1600,12,131,1103,93.98,18,4
2,0,0,1,1600,14,133,1106,94.05,4.7,4
3,0,0,1,1600,6,116,1093,94.06,3.7,4
4,0,0,1,1600,11,126,1140,94.34,14,4
5,0,0,1,1600,2,124,1130,94.56,11,4
6,0,0,1,1600,4,113,1036,94.66,74,4
7,0,0,1,1600,3,115,1043,94.7,7.2,4
8,0,0,1,1600,10,132,1110,94.7,16,4
9,0,0,1,1600,1,122,1050,95.07,10,4
10,0,0,1,1600,13,124,1148,95.08,48,4
11,0,0,1,1600,9,127,1127,95.71,10,4
12,0,0,1,1600,8,109,992,95.83,87,4
13,0,0,1,1600,7,133,1044,96,17,4
14,0,0,1,1600,5,121,1177,96.07,63,4
1,0,0,1,1400,2,123,1074,81.38,12,4
2,0,0,1,1400,1,130,1087,81.42,2.7,4
3,0,0,1,1400,3,126,1142,81.8,11,4
4,0,0,1,1400,10,119,1183,81.91,13,4
5,0,0,1,1400,4,131,1073,81.92,3.3,4
6,0,0,1,1400,6,123,1176,82.02,15,4
7,0,0,1,1400,13,127,1130,82.34,17,4
8,0,0,1,1400,8,109,1188,82.43,140,4
9,0,0,1,1400,5,116,1266,82.78,93,4
10,0,0,1,1400,9,109,1032,82.87,139,4
11,0,0,1,1400,12,130,1060,82.88,12,4
12,0,0,1,1400,11,131,1073,82.95,22,4
13,0,0,1,1400,14,130,1093,83.08,77,4
14,0,0,1,1400,7,120,1165,83.38,32,4
1,0,1,2,1200,6,112,1293,68.66,9.7,3
2,0,1,2,1200,7,126,1145,68.73,2.4,3
3,0,1,2,1200,4,124,1186,68.78,5.3,3
4,0,1,2,1200,12,130,1271,68.81,39,3
5,0,1,2,1200,5,112,993,68.85,7.5,3
6,0,1,2,1200,2,115,1048,69.06,25,3
7,0,1,2,1200,11,125,1121,69.23,22,3
8,0,1,2,1200,1,122,1251,69.33,6.8,3
9,0,1,2,1200,3,121,1125,69.79,29,3
10,0,1,2,1200,8,119,1120,70.01,153,3
11,0,1,2,1200,9,129,1127,70.07,18,3
12,0,1,2,1200,10,122,1041,70.51,39,3
1,0,0,1,1800,3,132,1170,107.26,12,3
2,0,0,1,1800,10,113,1112,107.48,6.9,3
3,0,0,1,1800,5,115,1043,107.62,10,3
4,0,0,1,1800,4,133,1190,107.94,3.2,3
5,0,0,1,1800,7,132,1080,107.95,8.1,3
6,0,0,1,1800,8,128,1097,107.97,4.9,3
7,0,0,1,1800,2,119,1092,108.42,6.6,3
8,0,0,1,1800,1,113,1038,109.52,15,3
9,0,0,1,1800,6,132,1286,110.47,28,3
10,0,0,1,1800,9,111,1151,110.93,82,3
1,0,0,1,1000,7,115,1110,56.25,9,3
2,0,0,1,1000,10,130,1110,56.3,3.3,3
3,0,0,1,1000,1,133,1060,56.57,10,3
4,0,0,1,1000,9,115,1114,56.64,12,3
5,0,0,1,1000,5,124,1167,56.9,13,3
6,0,0,1,1000,8,110,1073,57,13,3
7,0,0,1,1000,2,120,1178,57.07,20,3
8,0,0,1,1000,4,125,1037,57.1,43,3
9,0,0,1,1000,12,122,1333,57.34,7.7,3
10,0,0,1,1000,3,120,1026,57.55,20,3
11,0,0,1,1000,6,116,1224,57.62,4.8,3
12,0,0,1,1000,11,116,1155,57.93,66,3
1,0,0,1,1400,2,119,1052,82.13,7.2,3
2,0,0,1,1400,4,116,1172,82.18,7.1,3
3,0,0,1,1400,7,123,1246,82.24,7.6,3
4,0,0,1,1400,5,117,1016,82.3,20,3
5,0,0,1,1400,10,133,1149,82.33,32,3
6,0,0,1,1400,11,129,1135,82.41,5.6,3
7,0,0,1,1400,6,128,1126,82.51,23,3
8,0,0,1,1400,9,115,1038,82.54,18,3
9,0,0,1,1400,1,118,1179,82.57,7,3
10,0,0,1,1400,3,118,1160,82.63,9.1,3
11,0,0,1,1400,14,121,1231,82.75,74,3
12,0,0,1,1400,13,133,1016,82.87,6.4,3
13,0,0,1,1400,8,122,1056,83.1,42,3
14,0,0,1,1400,12,117,1124,84.37,269,3
1,0,0,1,1400,1,114,1127,81.19,11,2
2,0,0,1,1400,6,125,1183,81.3,3.7,2
3,0,0,1,1400,5,117,1127,81.41,8.1,2
4,0,0,1,1400,14,133,1141,81.58,7.3,2
5,0,0,1,1400,10,115,1027,81.75,11,2
6,0,0,1,1400,4,118,1092,81.76,89,2
7,0,0,1,1400,8,120,1040,81.82,4.8,2
7,0,0,1,1400,11,122,1121,81.82,76,2
9,0,0,1,1400,2,128,1055,81.85,31,2
10,0,0,1,1400,12,116,1143,81.88,118,2
11,0,0,1,1400,13,116,1185,81.92,10,2
12,0,0,1,1400,7,122,1158,82.91,20,2
13,0,0,1,1400,9,115,1196,83.05,19,2
14,0,0,1,1400,3,120,1011,83.4,25,2
1,0,1,2,1650,4,118,1062,99.41,11,4
2,0,1,2,1650,5,127,1127,99.41,6,4
3,0,1,2,1650,1,122,1017,99.96,8.9,4
4,0,1,2,1650,8,120,1094,100.08,60,4
5,0,1,2,1650,6,126,1124,100.09,27,4
6,0,1,2,1650,2,123,1059,100.2,13,4
7,0,1,2,1650,10,128,1121,100.23,14,4
8,0,1,2,1650,7,119,1146,100.33,5.6,4
9,0,1,2,1650,3,126,1167,100.43,2.4,4
1,0,0,2,1000,4,121,1130,56.73,14,3
2,0,0,2,1000,5,121,1127,56.93,3.2,3
3,0,0,2,1000,3,122,1188,56.94,2.1,3
