Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,9,ASSOCIATION FANS(V207),M Chadwick,L Ho,117,1146,5,-,5 5 6 1 ,1:41.60,22,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
2,7,SPEEDY WALLY(T002),Z Purton,C Fownes,120,1120,6,1/2,7 7 7 2 ,1:41.67,5.5,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
3,10,POLYMER LUCK(T326),M L Yeung,K W Lui,114,1067,10,3/4,1 1 1 3 ,1:41.74,5.7,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
4,8,THE SYLPH(T055),K Teetan,D E Ferraris,120,1012,4,1-3/4,9 9 9 4 ,1:41.89,14,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
5,4,ALL YOU KNOW(A320),D Whyte,R Gibson,124,1056,7,1-3/4,3 3 4 5 ,1:41.89,3.2,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
6,6,LITTLE ISLAND(T390),H N Wong,K L Man,117,1024,9,2-1/2,10 10 10 6 ,1:42.00,42,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
7,1,KING'S MAN(V156),A Sanna,P F Yiu,133,1107,1,3,8 8 8 7 ,1:42.10,8.8,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
8,2,CHARITY WINGS(B003),G van Niekerk,C S Shum,129,1104,3,3-3/4,6 6 5 8 ,1:42.20,10,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
9,5,STARLIT KNIGHT(A137),K C Leung,Y S Tsui,124,1092,8,4-1/4,2 2 2 9 ,1:42.29,6.4,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"
10,3,WAH MAY BABY(S247),H T Mo,A S Cruz,121,1128,2,7-1/4,4 4 3 10 ,1:42.74,20,18-19-15,Class 4,HV,1650M,GOOD TO FIRM,"T-1F - ""B"" Course"

1,8,EAGLE(B106),C Wong,P F Yiu,110,1135,1,-,1 1 1 ,1:10.71,2.7,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
2,2,FAIRY TWINS(V222),K C Leung,W Y So,130,1198,5,3/4,4 4 2 ,1:10.82,12,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
3,3,JUMBO HAPPINESS(V315),Z Purton,C Fownes,127,1100,2,3/4,5 5 3 ,1:10.84,3.9,18-19-16,Class 3,HV,1200M,GOOD TO FIRM,"T-1F - ""B"" Course"
