
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
11,3,BURST AWAY(A001),D Whyte,D E Ferraris,128,1086,12,11,3 4 11 ,1:11.17,15,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
12,4,KING MORTAR(A097),A Sanna,L Ho,127,1131,4,11,10 10 12 ,1:11.19,31,20-21-303,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,5,FULL OF BEAUTY(C003),J Moreira,J Size,125,1176,4,-,3 3 1 ,1:09.88,2.5,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
2,2,LAKESHORE EAGLE(B391),D Whyte,W Y So,131,1068,7,SH,11 10 2 ,1:09.89,4.5,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
3,10,RED HORSE(V334),W M Lai,C H Yip,120,1210,3,2-1/4,9 9 3 ,1:10.22,24,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
4,6,THIS IS CLASS(B420),M L Yeung,K W Lui,123,1192,8,2-1/2,1 1 4 ,1:10.29,79,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
5,4,COOLCELEB(C030),U Rispoli,T P Yung,125,1275,2,4-1/2,4 4 5 ,1:10.58,46,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
6,7,YICHUN BLITZ(C026),Z Purton,R Gibson,125,1179,9,5-1/4,8 8 6 ,1:10.74,3.2,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
7,3,SUPER MODEL(B375),H T Mo,C S Shum,122,1122,11,5-3/4,2 2 7 ,1:10.80,115,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
8,1,BACK IN BLACK(T358),K Teetan,D J Hall,133,1085,1,6-1/4,7 6 8 ,1:10.88,29,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
9,9,WAYFOONG CHARMER(B437),K C Leung,P O'Sullivan,123,1109,6,6-1/2,6 7 9 ,1:10.93,13,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
10,12,WINNING CIRCLE(B275),M Chadwick,J Moore,118,1120,10,8-3/4,10 11 10 ,1:11.27,155,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
11,11,SEIZE THE SPIRIT(B030),C Wong,Y S Tsui,113,1105,12,8-3/4,12 12 11 ,1:11.30,35,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
12,8,BULLISH BROTHER(C034),C Y Ho,A S Cruz,121,1134,5,9-1/4,5 5 12 ,1:11.37,20,20-21-304,Class 4,ST,1200M,GOOD,"TURF - ""C"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,6,PICKEN(B311),J Moreira,J Size,125,1166,12,-,5 5 2 1 ,1:22.46,3.2,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
2,7,NOBLE DE LOVE(V324),Z Purton,F C Lor,124,1208,1,N,4 4 3 2 ,1:22.53,3,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
3,3,FRESH POWER(B067),S de Sousa,Y S Tsui,127,1020,4,2-3/4,6 6 6 3 ,1:22.90,5,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
4,5,HAPPY HOUR(B286),U Rispoli,C H Yip,125,1083,11,4,12 12 9 4 ,1:23.11,57,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
5,8,SUPER FUN(A408),M F Poon,L Ho,121,1088,7,5,1 1 1 5 ,1:23.25,11,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
6,11,BLIZZING AWAY(B458),K C Leung,P F Yiu,120,1195,10,5-1/2,8 8 5 6 ,1:23.36,218,20-21-305,Class 4,ST,1400M,GOOD,"TURF - ""C"" Course"
