
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
6,2,PEARL CHAMPION(B201),S de Sousa,A T Millard,133,1007,13,3-3/4,6 3 4 6 ,1:23.42,5.3,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
7,5,MR DARTHVEGAR(C032),A Badel,R Gibson,128,1145,10,3-3/4,3 5 6 7 ,1:23.44,16,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
8,12,SUPREME WITNESS(A357),H T Mo,A S Cruz,114,1264,7,4-1/2,2 2 2 8 ,1:23.54,13,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
9,11,SPRING WIN(V157),M Harley,P F Yiu,121,1076,9,6,10 14 14 9 ,1:23.81,48,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
10,13,TEST THE STARS(B193),C Y Ho,D J Hall,117,1022,14,6-1/4,14 13 12 10 ,1:23.82,160,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
11,9,MARVEL JOY(A229),C Murray,C Fownes,123,1135,6,6-1/4,4 4 5 11 ,1:23.83,53,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
12,1,BEAUTY ENERGY(B149),Z Purton,J Moore,133,1044,5,6-1/2,9 11 13 12 ,1:23.89,5.4,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
13,10,SUREWIN(B157),K C Leung,C W Chang,122,1210,3,7-1/2,11 10 8 13 ,1:24.02,287,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
14,6,REGENCY GEM(C035),M F Poon,W Y So,125,1178,12,13-1/4,12 7 11 14 ,1:24.97,138,19-20-399,Class 4,ST,1400M,GOOD,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,7,FULL OF BEAUTY(C003),J Moreira,J Size,121,1153,11,-,6 5 1 ,1:09.46,1.8,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
2,10,HONEST WAY(B200),A Badel,D E Ferraris,118,1189,5,1-1/4,5 8 2 ,1:09.64,5.8,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
3,5,SPARKLING DRAGON(B033),S de Sousa,A T Millard,122,1091,3,1-1/4,3 2 3 ,1:09.66,5.5,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
4,8,BLITZING(B290),C Y Ho,A S Cruz,118,1161,6,2,4 4 4 ,1:09.79,10,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
5,1,FANTASTIC EIGHT(A079),C Wong,P F Yiu,126,1177,8,2-1/2,8 9 5 ,1:09.86,12,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
6,3,E-SUPER(T010),M F Poon,K L Man,123,1045,1,3,1 1 6 ,1:09.92,53,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
7,12,TOP SCORE(V357),K Teetan,K W Lui,114,1134,7,3-1/4,11 10 7 ,1:09.98,13,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
8,9,FIRST RESPONDER(C205),D Whyte,J Moore,118,1140,9,4-1/4,9 7 8 ,1:10.13,42,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
9,2,THE ONE(B073),H N Wong,Y S Tsui,122,1185,10,6-1/4,10 11 9 ,1:10.47,332,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
10,6,REEL BIZZY(C138),A Sanna,C S Shum,121,1049,4,6-1/4,2 6 10 ,1:10.47,147,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
11,4,DALRADIAN(A213),U Rispoli,C H Yip,123,1124,2,7-1/4,7 3 11 ,1:10.63,140,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
12,11,MISTER MONTE(A201),K C Leung,C W Chang,118,1058,12,15-1/2,12 12 12 ,1:11.93,259,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
WV,,MIGHTY POWER(C094),M L Yeung,T P Yung,122,---,---,---,---,---,---,19-20-400,Class 3,ST,1200M,GOOD,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,3,WHAT ELSE BUT YOU(A136),J Moreira,J Size,131,1138,1,-,5 5 5 1 ,1:21.36,2.1,19-20-401,Class 1,ST,1400M,GOOD,"TURF - ""C+3"" Course"
2,6,SOLAR PATCH(B307),S de Sousa,J Moore,115,1211,4,2,6 6 6 2 ,1:21.69,6.8,19-20-401,Class 1,ST,1400M,GOOD,"TURF - ""C+3"" Course"
3,5,REGENCY BO BO(A050),H T Mo,C S Shum,108,1153,3,2-3/4,2 1 1 3 ,1:21.78,6.9,19-20-401,Class 1,ST,1400M,GOOD,"TURF - ""C+3"" Course"
4,4,MORETHANLUCKY(A039),A Badel,F C Lor,128,1181,2,4-1/4,4 4 4 4 ,1:22.06,2.9,19-20-401,Class 1,ST,1400M,GOOD,"TURF - ""C+3"" Course"
5,2,CALIFORNIA WHIP(A114),K Teetan,A S Cruz,131,1167,6,5-1/4,1 2 2 5 ,1:22.20,20,19-20-401,Class 1,ST,1400M,GOOD,"TURF - ""C+3"" Course"
6,1,JOLLY BANNER(V077),M F Poon,P F Yiu,130,1053,5,7,3 3 3 6 ,1:22.46,16,19-20-401,Class 1,ST,1400M,GOOD,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,12,CORDYCEPS(B070),S de Sousa,K W Lui,119,1158,10,-,3 1 1 1 ,1:34.65,6.5,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
2,6,NOT USUAL TALENT(C095),M L Yeung,T P Yung,123,1080,13,1-1/4,12 11 9 2 ,1:34.82,275,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
3,5,FAMOUS WARRIOR(B219),A Sanna,A S Cruz,128,1161,1,1-3/4,7 7 11 3 ,1:34.92,9.1,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
4,14,SMILING PRIDE(A344),A Badel,K H Ting,117,1221,11,2-1/4,6 6 3 4 ,1:35.01,5.1,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
5,4,WINNING ENDEAVOUR(C048),N Callan,K L Man,129,1058,12,2-1/4,10 10 8 5 ,1:35.02,23,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
6,3,FOLLOW ME(B440),J Moreira,J Size,130,1064,14,2-1/2,9 9 7 6 ,1:35.06,3.8,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
7,10,GREAT TREASURE(T380),H N Wong,Y S Tsui,118,1021,4,3,11 12 12 7 ,1:35.12,86,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
8,1,VINCY(B213),Z Purton,F C Lor,133,1040,9,4,2 3 2 8 ,1:35.28,3.3,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
9,8,AMAZING SATCHMO(A363),U Rispoli,D E Ferraris,123,1302,8,4,14 13 14 9 ,1:35.29,50,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
10,9,HO HO FEEL(T029),G van Niekerk,C H Yip,122,1148,2,4,13 14 13 10 ,1:35.30,40,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
11,11,AMAZING(A202),K C Leung,D E Ferraris,120,1119,6,4-3/4,8 8 10 11 ,1:35.40,56,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
12,13,DARING FIT(V398),M Chadwick,P O'Sullivan,118,1248,3,7,4 4 6 12 ,1:35.77,39,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
13,2,GLORIOUS DRAGON(C120),K Teetan,A T Millard,131,1107,5,9,5 5 4 13 ,1:36.09,24,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
14,7,GREEN DISPATCH(V184),M F Poon,C S Shum,121,1177,7,13-1/4,1 2 5 14 ,1:36.77,227,19-20-404,Class 3,ST,1600M,GOOD,"TURF - ""C+3"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,10,PRINCE OF GEMS(C031),Z Purton,C H Yip,123,1133,13,-,2 2 1 ,1:09.76,2.9,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
2,9,MR CROISSANT(C234),D Whyte,W Y So,123,1087,2,1-1/4,4 3 2 ,1:09.97,2.9,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
3,6,CIRCUIT THREE(B360),K Teetan,A S Cruz,123,1135,3,2-1/2,8 8 3 ,1:10.17,17,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
4,2,SIMPLY BIG(B352),U Rispoli,F C Lor,128,1035,6,2-1/2,1 1 4 ,1:10.18,21,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
5,7,E STAR(C132),A Badel,K L Man,123,1063,9,3-3/4,6 5 5 ,1:10.34,39,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
6,3,THE CREATETH(A336),J Moreira,J Moore,126,1091,11,4-1/4,7 6 6 ,1:10.43,5.5,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
7,8,LORIZ(C036),M F Poon,P F Yiu,120,1187,5,4-1/4,3 4 7 ,1:10.44,36,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
8,11,SOCCER MASTER(B452),A Sanna,D E Ferraris,123,1120,12,4-1/4,13 10 8 ,1:10.46,75,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
9,13,YEE CHEONG PEGASUS(B064),C Y Ho,D J Hall,119,1066,1,4-1/4,5 7 9 ,1:10.46,10,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
10,14,LETSGOFREE(T292),M L Yeung,K H Ting,113,975,4,8-1/4,11 9 10 ,1:11.06,42,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
11,1,MARQULA(V423),N Callan,C W Chang,131,1257,14,8-3/4,10 12 11 ,1:11.16,105,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
12,5,FRIENDS OF NANJING(V140),H N Wong,C H Yip,121,1133,7,9-1/2,12 13 12 ,1:11.29,65,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
13,12,KING MORTAR(A097),H T Mo,L Ho,117,1122,8,10-1/4,9 11 13 ,1:11.41,30,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
WV-A,4,CRAIG'S STAR(C041),S de Sousa,C S Shum,125,---,---,---,---,---,---,19-20-406,Class 4,ST,1200M,GOOD,"TURF - ""A"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,6,COBY OPPA(C192),K Teetan,F C Lor,126,1097,10,-,1 1 1 ,1:09.14,3.2,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
2,7,BORNTOACHIEVE(T313),S de Sousa,Y S Tsui,122,1114,2,3-1/4,5 4 2 ,1:09.65,5,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
3,10,ALCAZAR(A131),M Chadwick,J Moore,117,1069,6,3-1/4,7 7 3 ,1:09.66,9.5,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
4,9,EVER STRONG(A275),C Y Ho,K L Man,119,1059,11,3-1/4,8 10 4 ,1:09.66,10,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
5,3,GENEROUS HEART(V394),U Rispoli,C H Yip,131,1084,3,3-1/2,10 9 5 ,1:09.71,5.8,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
6,11,FAME AND FORTUNE(B082),M F Poon,D J Hall,114,1057,7,4-1/2,4 3 6 ,1:09.87,13,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
7,4,BOND ELEGANCE(A007),J Moreira,J Size,127,1079,8,5-1/4,12 12 7 ,1:09.97,18,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
8,2,DR PROACTIVE(A345),H T Mo,K H Ting,127,1052,5,5-1/4,3 5 8 ,1:09.99,9.4,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
9,12,MASSIVE MILLENNIUM(T381),M L Yeung,T P Yung,114,1195,4,8,6 6 9 ,1:10.41,25,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
10,8,DR RACE(T284),N Callan,D E Ferraris,122,1063,9,9-1/2,11 8 10 ,1:10.64,31,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
11,5,MR RIGHT(T334),H N Wong,L Ho,124,1268,12,12,2 2 11 ,1:11.05,56,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
12,1,CHARITYDREAM(B334),K C Leung,W Y So,131,1081,1,21-1/4,9 11 12 ,1:12.54,97,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
WV,,ALL YOU NEED(A006),Z Purton,R Gibson,133,---,---,---,---,---,---,19-20-408,Class 4,ST,1200M,GOOD,ALL WEATHER TRACK
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,11,CHIU CHOW KID(T412),M L Yeung,T P Yung,116,1181,5,-,10 10 8 1 ,1:35.89,28,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
2,3,FLASH FAMOUS(B162),A Badel,F C Lor,129,1124,3,3/4,9 8 6 2 ,1:36.01,8.8,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
3,2,ROMANTIC CHEF(B368),Z Purton,C S Shum,132,1180,7,3/4,3 3 3 3 ,1:36.01,2.8,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
4,4,HINYUEN SWIFTNESS(V250),W M Lai,C H Yip,126,1237,4,1,2 1 1 4 ,1:36.07,24,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
5,8,EMPIRE STAR(A145),J Moreira,J Moore,123,1109,6,1-1/4,5 6 7 5 ,1:36.09,3.7,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
6,9,WINWIN RUBY(A120),K Teetan,K L Man,122,1033,1,1-1/2,4 4 4 6 ,1:36.13,9.4,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
7,1,SUNNY POWER(A371),C Y Ho,K W Lui,131,1111,12,2-1/2,6 5 5 7 ,1:36.29,6,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
8,6,HAY RUN(V337),N Callan,L Ho,125,1105,2,3,7 7 9 8 ,1:36.39,12,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
9,12,MOTHER WISHES(B474),K C Leung,W Y So,118,1122,9,4,11 11 10 9 ,1:36.54,42,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
10,13,MEGATRON(V119),M F Poon,P F Yiu,112,1082,10,5-1/4,1 2 2 10 ,1:36.73,127,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
11,7,REEVE'S MUNTJAC(C174),U Rispoli,C H Yip,125,1162,11,6,12 12 11 11 ,1:36.85,171,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
12,5,DATING(B341),H N Wong,C H Yip,122,1035,8,11-1/4,8 9 12 12 ,1:37.71,169,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
WV,10,CURLING LUXURY(A083),S de Sousa,Y S Tsui,119,---,---,---,---,---,---,19-20-409,Class 4,ST,1600M,GOOD,"TURF - ""A"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,4,SUPER STAR(B380),S de Sousa,A T Millard,131,1033,3,-,8 8 8 1 ,1:22.37,3.3,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
2,14,DIAMOND LEGEND(V341),K Teetan,A S Cruz,117,1141,8,1/2,2 2 2 2 ,1:22.45,11,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
3,1,BIG FORTUNE(B220),H T Mo,L Ho,128,1034,4,1-3/4,1 1 1 3 ,1:22.61,7.8,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
4,7,FORTUNATE RUNNER(A292),C Y Ho,K W Lui,126,1177,1,3-1/4,7 7 7 4 ,1:22.91,6.8,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
5,10,COOLCELEB(C030),U Rispoli,T P Yung,123,1282,2,3-1/2,4 4 3 5 ,1:22.95,58,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
6,12,DESTIN(V417),J Moreira,P O'Sullivan,121,1139,10,4-1/4,6 6 5 6 ,1:23.06,8.9,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
7,2,CHARIZARD(B463),N Callan,D E Ferraris,132,1012,13,4-3/4,12 12 12 7 ,1:23.12,11,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
8,6,GUY DRAGON(B377),K C Leung,W Y So,129,1147,5,6,9 11 11 8 ,1:23.34,17,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
9,3,CALLING THE SHOTS(B239),A Sanna,C S Shum,131,981,12,6-1/2,5 3 4 9 ,1:23.40,182,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
10,11,LONDON HALL(B026),A Badel,D J Hall,122,1101,6,7,11 10 10 10 ,1:23.48,67,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
11,9,MURRAY'S PARTNERS(B426),D Whyte,C H Yip,126,1053,7,7-1/4,3 5 6 11 ,1:23.53,6.9,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
12,5,FRESH POWER(B067),G van Niekerk,Y S Tsui,129,1017,14,8-3/4,10 9 9 12 ,1:23.75,14,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
13,8,MONICA(B271),M F Poon,J Moore,125,1013,11,9,14 14 14 13 ,1:23.79,23,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
14,13,SHARPMIND(V348),H N Wong,P F Yiu,116,1031,9,9-1/4,13 13 13 14 ,1:23.86,173,19-20-410,Class 4,ST,1400M,GOOD,"TURF - ""A"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,8,LEAN PERFECTION(B040),A Badel,C H Yip,118,1141,2,-,5 6 1 ,1:09.79,3.9,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
2,9,MY DARLING(V142),M L Yeung,T P Yung,116,1163,1,HD,4 4 2 ,1:09.82,26,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
3,7,STORM SIGNAL(B055),D Whyte,J Moore,121,1193,9,N,2 2 3 ,1:09.83,5.6,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
4,4,HINCHINLOVE(C001),Z Purton,W Y So,123,1155,7,1/2,6 5 4 ,1:09.86,6.2,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
5,2,RAGING BLITZKRIEG(B147),J Moreira,J Size,127,1089,10,1-3/4,3 1 5 ,1:10.07,2.6,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
6,6,KING OF HEARTS(C145),C Y Ho,A S Cruz,119,1054,6,2-1/4,9 8 6 ,1:10.16,11,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
7,3,NEW ASIA SUNRISE(T268),U Rispoli,Y S Tsui,126,1003,5,3,7 7 7 ,1:10.27,30,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
8,10,SHANGHAI MASTER(A337),H N Wong,K W Lui,115,1142,8,4-1/4,10 10 8 ,1:10.46,207,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
9,5,HAPPY FAMILY(C116),H T Mo,L Ho,117,1072,3,4-3/4,8 9 9 ,1:10.55,21,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
10,1,SAUL'S SPECIAL(A293),K Teetan,C W Chang,128,1106,4,6-3/4,1 3 10 ,1:10.85,35,19-20-411,Class 2,ST,1200M,GOOD,"TURF - ""A"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,1,I AM POWER(B240),H T Mo,L Ho,128,1143,6,-,7 10 1 ,0:57.36,10,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
2,2,SEVEN HEAVENS(B089),D Whyte,C Fownes,132,1058,10,1/2,9 6 2 ,0:57.47,10,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
3,7,HAIR TRIGGER(A215),M F Poon,J Moore,121,1141,13,1-1/4,14 14 3 ,0:57.56,17,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
4,3,SPEEDY KING(A391),K C Leung,P F Yiu,130,1144,12,1-3/4,6 1 4 ,0:57.62,8.9,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
5,5,CEREFINO(A398),A Sanna,W Y So,125,1081,9,2-1/4,13 11 5 ,0:57.71,143,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
6,14,TRAVEL EMPEROR(A316),A Badel,C S Shum,115,1255,7,2-3/4,10 9 6 ,0:57.79,56,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
7,8,UTOPIA LIFE(C166),S de Sousa,K L Man,124,1138,8,3,5 2 7 ,0:57.86,56,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
8,9,SPECIAL STARS(C010),J Moreira,J Size,123,1081,5,3-1/4,4 8 8 ,0:57.89,1.7,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
9,13,CHEEKY BEE(B471),G van Niekerk,D E Ferraris,117,1003,11,4,11 12 9 ,0:57.99,44,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
10,12,DEMONS ROCK(B263),C Y Ho,D J Hall,116,1030,2,4-3/4,12 13 10 ,0:58.13,192,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
11,11,CALIFORNIA GUNGHO(B204),K Teetan,A S Cruz,121,1121,3,10-3/4,3 4 11 ,0:59.08,5.7,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
12,6,GUVNOR(C182),N Callan,Y S Tsui,125,1166,14,12-1/2,8 3 12 ,0:59.36,280,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
13,4,MY BEGINNER'S LUCK(A420),H N Wong,D E Ferraris,126,1115,4,14,2 5 13 ,0:59.58,58,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
14,10,PRINCE HARMONY(V012),M L Yeung,W Y So,120,1155,1,15-1/4,1 7 14 ,0:59.81,55,19-20-412,Class 3,ST,1000M,GOOD,"TURF - ""A"" Course"
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,8,NOBLE DE LOVE(V324),S de Sousa,F C Lor,123,1213,4,-,4 3 1 ,1:07.99,1.8,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
2,10,SHIMMER AND SHINE(B080),K Teetan,C Fownes,121,1201,10,3-1/4,5 5 2 ,1:08.51,6.5,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
3,12,PHANTOM FALCON(A128),W M Lai,L Ho,118,1016,12,3-3/4,1 2 3 ,1:08.59,46,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
4,11,AMAZING STAR(B019),H N Wong,K H Ting,115,1164,5,4-1/4,2 1 4 ,1:08.66,5.4,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
5,9,GOLDIE FLANKER(V161),J Moreira,P O'Sullivan,122,1233,7,5-3/4,10 9 5 ,1:08.93,7,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
6,3,ELITE PATCH(C193),D Whyte,J Moore,129,1170,2,8-3/4,9 8 6 ,1:09.40,11,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
7,2,HARBOUR ALERT(T254),H T Mo,C W Chang,128,1336,1,10,6 6 7 ,1:09.59,31,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
8,7,SUN SUN FA FA(B467),M F Poon,A S Cruz,122,1109,9,11-1/4,8 10 8 ,1:09.79,157,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
9,5,BIZ POWER(B052),K C Leung,W Y So,128,1043,3,11-1/4,11 11 9 ,1:09.80,40,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
10,1,FORZA ANGEL(B333),A Badel,Y S Tsui,133,1049,8,14-1/4,3 4 10 ,1:10.29,89,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
11,6,ROMAN IMPERO(V371),C Y Ho,C H Yip,124,1175,11,14-1/2,12 12 11 ,1:10.33,84,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
12,4,SPEEDY LUCK(C144),N Callan,P F Yiu,129,1181,6,20-1/2,7 7 12 ,1:11.26,176,19-20-413,Class 3,ST,1200M,GOOD,ALL WEATHER TRACK
Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds,RaceID,Class,Loc,Length,Going,Track
1,8,RIGHT CHOICE(C013),S de Sousa,F C Lor,121,1078,2,-,4 5 4 1 ,1:22.09,2,19-20-414,Class 3,ST,1400M,GOOD,"TURF - ""A"" Course"
2,13,GALLANT RETURN(A308),J Moreira,D J Hall,115,1071,1,3/4,3 3 3 2 ,1:22.24,9.1,19-20-414,Class 3,ST,1400M,GOOD,"TURF - ""A"" Course"
3,14,INVINCIBLE MISSILE(C037),K Teetan,W Y So,115,1080,9,1-1/4,8 9 11 3 ,1:22.27,6.8,19-20-414,Class 3,ST,1400M,GOOD,"TURF - ""A"" Course"
