Pla,Horse No,Horse,Jockey,Trainer,Act Wt,Declare Horse Wt,Draw,LBW,RunningPos,Finish Time,Win Odds
1,3,GOOD RUNNERS WAY(C127),Z Purton,C S Shum,131,1072,6,-,3 3 2 1 ,1:35.48,2.2
2,4,REGENCY GEM(C035),J Moreira,W Y So,129,1179,7,SH,9 8 8 2 ,1:35.50,4.9
3,7,PROUD SKY(V406),K Teetan,L Ho,121,1053,4,1/2,5 4 3 3 ,1:35.57,18
4,2,LE PANACHE(V369),A Sanna,D J Whyte,132,1076,3,1-1/4,4 6 6 4 ,1:35.68,5.7
5,1,GOLD VELVET(V400),L Hewitson,A T Millard,133,1155,8,1-1/2,8 7 7 5 ,1:35.71,7
6,9,ROMANTIC JOURNEY(B107),H T Mo,C W Chang,112,1085,1,1-3/4,1 1 1 6 ,1:35.77,19
7,5,WICKER(B425),N Callan,R Gibson,126,1118,9,2,7 9 9 7 ,1:35.79,50
8,6,WHAMPOA STAR(B146),M F Poon,Y S Tsui,119,1139,5,7-1/2,2 2 4 8 ,1:36.67,14
9,8,YOUNG GLORY(B292),M Chadwick,D E Ferraris,120,1207,2,10-1/2,6 5 5 9 ,1:37.15,21
