/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/09/20&Racecourse=ST&RaceNo=10,11,20/09/20,"ST / Turf / ""B+2""",1600,GF,2,7,90,K H Ting,A Hamelin,7-3/4,6.7,125,3 3 3 11,1.34.87,1107,B/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/28&Racecourse=HV&RaceNo=9,08,28/10/20,"HV / Turf / ""C+3""",1800,G,2,8,90,C S Shum,K C Leung,5-1/4,8.6,125,2 2 4 2 8,1.50.19,1108,TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/14&Racecourse=HV&RaceNo=8,03,14/10/20,"HV / Turf / ""B""",1650,G,2,10,88,C S Shum,K C Leung,HD,64,117,12 12 12 3,1.39.07,1099,H-/XB-/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/01&Racecourse=ST&RaceNo=10,11,01/10/20,"ST / Turf / ""B""",1400,G,2,6,90,C S Shum,K C Leung,10-1/2,29,123,11 10 8 11,1.22.60,1110,H/XB/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/09/20&Racecourse=ST&RaceNo=10,12,20/09/20,"ST / Turf / ""B+2""",1600,GF,2,6,90,C S Shum,Z Purton,8-3/4,5.1,125,7 8 9 12,1.35.02,1114,H/XB/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/14&Racecourse=ST&RaceNo=8,04,14/02/21,"ST / Turf / ""A""",1400,G,1,9,88,A T Millard,V Borges,4,10,113,5 3 3 4,1.21.97,1229,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/10&Racecourse=ST&RaceNo=10,09,10/01/21,"ST / Turf / ""C""",1400,G,2,14,88,A T Millard,V Borges,5,58,122,4 4 4 9,1.21.88,1220,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/12/06&Racecourse=ST&RaceNo=10,01,06/12/20,ST / AWT,1200,GD,2,6,82,A T Millard,V Borges,N,28,119,7 6 1,1.08.29,1209,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/01&Racecourse=ST&RaceNo=10,10,01/10/20,"ST / Turf / ""B""",1400,G,2,12,82,A T Millard,M F Poon,6,9.7,113,3 4 3 10,1.21.88,1177,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/21&Racecourse=ST&RaceNo=9,10,21/02/21,"ST / Turf / ""A+3""",1800,G,4YO,12,85,Y S Tsui,V Borges,3-3/4,68,126,12 12 13 14 10,1.47.82,975,H/XB
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/06&Racecourse=ST&RaceNo=3,03,06/02/21,"ST / Turf / ""C""",1600,G,2,4,84,Y S Tsui,B Shinn,3/4,134,121,7 7 5 3,1.34.32,974,H/XB
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/24&Racecourse=ST&RaceNo=9,12,24/01/21,"ST / Turf / ""A+3""",1800,G,2,2,86,Y S Tsui,K C Leung,5-1/4,84,120,7 8 8 11 12,1.48.53,976,H1/XB1/TT-
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/01&Racecourse=ST&RaceNo=11,12,01/01/21,"ST / Turf / ""B+2""",1600,G,2,2,86,Y S Tsui,K C Leung,7-1/2,70,122,2 6 9 12,1.36.40,973,TT1
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/07&Racecourse=HV&RaceNo=8,09,07/10/20,"HV / Turf / ""A""",1000,G,2,1,82,P F Yiu,A Badel,4-1/2,7.4,118,4 4 9,0.57.42,1150,H/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/09/06&Racecourse=ST&RaceNo=7,02,06/09/20,"ST / Turf / ""A""",1000,G,3,9,79,P F Yiu,K H Chan,N,11,125,1 1 2,0.55.83,1138,H/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/24&Racecourse=HV&RaceNo=9,07,24/02/21,"HV / Turf / ""C+3""",1650,GF,3,5,81,K W Lui,C Y Ho,4-1/4,11,129,5 5 8 7,1.39.84,1215,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/06&Racecourse=ST&RaceNo=3,04,06/02/21,"ST / Turf / ""C""",1600,G,2,3,81,K W Lui,V Borges,1-1/4,31,118,2 2 2 4,1.34.40,1210,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/27&Racecourse=HV&RaceNo=8,08,27/01/21,"HV / Turf / ""C+3""",1650,G,2,4,83,K W Lui,C L Chau,3,10,114,5 4 5 8,1.39.46,1217,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/01&Racecourse=ST&RaceNo=11,04,01/01/21,"ST / Turf / ""B+2""",1600,G,2,1,84,K W Lui,V Borges,2-1/4,91,120,4 5 7 4,1.35.56,1212,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/12/20&Racecourse=ST&RaceNo=10,10,20/12/20,"ST / Turf / ""C+3""",1400,G,2,2,86,K W Lui,M F Poon,4,53,120,7 7 9 10,1.22.29,1203,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/11/18&Racecourse=HV&RaceNo=8,05,18/11/20,"HV / Turf / ""C""",1650,G,2,2,87,K W Lui,C Y Ho,2-1/2,31,122,4 3 4 5,1.38.99,1209,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/11/04&Racecourse=ST&RaceNo=8,10,04/11/20,ST / AWT,1650,GD,2,4,87,K W Lui,H N Wong,13,50,115,7 8 9 10,1.41.31,1210,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/14&Racecourse=HV&RaceNo=8,11,14/10/20,"HV / Turf / ""B""",1650,G,2,7,87,K W Lui,C Y Ho,7-1/2,10,116,5 5 7 11,1.40.24,1219,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/09/09&Racecourse=HV&RaceNo=6,01,09/09/20,"HV / Turf / ""B""",1650,G,3,3,80,K W Lui,Z Purton,2,3.7,133,1 1 1 1,1.39.73,1210,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/14&Racecourse=ST&RaceNo=9,04,14/02/21,"ST / Turf / ""A""",1200,G,2,5,81,A S Cruz,M Chadwick,2,34,118,7 10 4,1.08.88,1206,H/XB/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/31&Racecourse=ST&RaceNo=10,12,31/01/21,"ST / Turf / ""B+2""",1200,G,2,14,83,A S Cruz,M Chadwick,6-1/4,16,120,3 3 12,1.09.40,1211,H/XB/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/12/13&Racecourse=ST&RaceNo=9,13,13/12/20,"ST / Turf / ""A""",1200,G,2,8,85,A S Cruz,A Hamelin,7-1/2,16,117,12 13 13,1.10.04,1203,H/XB/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/11/22&Racecourse=ST&RaceNo=10,04,22/11/20,"ST / Turf / ""B+2""",1200,GF,2,11,85,A S Cruz,N Callan,2-3/4,14,121,10 8 4,1.08.56,1208,H/XB/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/11/08&Racecourse=HV&RaceNo=10,09,08/11/20,"HV / Turf / ""A""",1200,G,2,7,85,A S Cruz,K Teetan,5-1/2,6.5,120,9 8 9,1.10.76,1198,H/XB/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/12/16&Racecourse=HV&RaceNo=6,09,16/12/20,"HV / Turf / ""C""",1650,G,3,3,80,P O'Sullivan,K Teetan,8-1/2,13,133,3 4 5 9,1.40.96,1160,CP/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/11/22&Racecourse=ST&RaceNo=6,12,22/11/20,"ST / Turf / ""B+2""",1800,GF,2,10,82,P O'Sullivan,M L Yeung,6-1/4,28,115,4 2 2 2 12,1.47.34,1158,CP/TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/28&Racecourse=HV&RaceNo=9,12,28/10/20,"HV / Turf / ""C+3""",1800,G,2,9,84,P O'Sullivan,M Chadwick,8,24,119,5 3 2 4 12,1.50.63,1144,CP/TT1
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/04&Racecourse=ST&RaceNo=10,05,04/10/20,"ST / Turf / ""C+3""",1800,G,2,6,85,P O'Sullivan,V Borges,2,48,116,3 4 4 4 5,1.48.33,1158,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/09/06&Racecourse=ST&RaceNo=10,08,06/09/20,"ST / Turf / ""A""",1400,G,2,10,85,P O'Sullivan,A Hamelin,5,102,120,13 12 12 8,1.21.93,1149,CP
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/11&Racecourse=ST&RaceNo=10,12,11/10/20,"ST / Turf / ""A+3""",1200,GF,2,12,80,A T Millard,A Badel,6-1/2,19,113,13 13 12,1.09.67,1155,--
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/09/27&Racecourse=ST&RaceNo=10,07,27/09/20,"ST / Turf / ""A""",1200,G,2,1,82,A T Millard,A Hamelin,3-3/4,11,119,3 3 7,1.09.34,1154,--
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/21&Racecourse=ST&RaceNo=6,05,21/02/21,ST / AWT,1200,GD,3,11,74,F C Lor,J Moreira,3-1/2,9.9,127,3 3 5,1.08.58,1214,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/31&Racecourse=ST&RaceNo=5,06,31/01/21,ST / AWT,1200,GD,3,10,74,F C Lor,J Moreira,2-3/4,3.2,127,4 3 6,1.08.94,1212,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/12/20&Racecourse=ST&RaceNo=7,01,20/12/20,ST / AWT,1200,GD,3,10,69,F C Lor,J Moreira,3/4,5.3,126,1 2 1,1.09.09,1227,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/11/29&Racecourse=ST&RaceNo=4,04,29/11/20,ST / AWT,1200,GD,3,9,70,F C Lor,N Callan,5-1/2,8.8,123,6 4 4,1.09.72,1217,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/11/14&Racecourse=ST&RaceNo=8,04,14/11/20,"ST / Turf / ""C+3""",1000,G,3,8,71,F C Lor,N Callan,1-3/4,32,126,5 4 4,0.57.01,1216,B
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/10/11&Racecourse=ST&RaceNo=7,06,11/10/20,"ST / Turf / ""A+3""",1200,G,3,1,71,F C Lor,M Chadwick,3,5.2,124,7 7 6,1.09.08,1203,B1
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/17&Racecourse=ST&RaceNo=10,11,17/01/21,"ST / Turf / ""A""",1400,G,3,5,75,P F Yiu,T Piccone,5-3/4,12,128,8 7 6 11,1.22.84,1081,--
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2020/11/18&Racecourse=HV&RaceNo=9,08,18/11/20,"HV / Turf / ""C""",1200,G,3,6,75,P F Yiu,T Piccone,3-3/4,91,128,12 12 8,1.09.92,1093,--
/racing/information/english/Racing/LocalResults.aspx?RaceDate=2021/02/17&Racecourse=HV&RaceNo=6,03,17/02/21,"HV / Turf / ""C""",2200,G,3,9,73,C Fownes,N Callan,4-1/2,16,128,9 9 8 8 8 3,2.17.19,1051,B/TT
/racing/information/english/Racing/LocalResults.aspx?RaceDate=2021/01/24&Racecourse=ST&RaceNo=6,07,24/01/21,"ST / Turf / ""A+3""",2000,G,3,5,75,C Fownes,B Shinn,3,16,129,2 1 2 2 7,2.02.80,1059,B/TT
/racing/information/english/Racing/LocalResults.aspx?RaceDate=2021/01/06&Racecourse=HV&RaceNo=9,09,06/01/21,"HV / Turf / ""A""",1800,G,3,12,77,C Fownes,C Schofield,4-3/4,19,130,9 12 12 10 9,1.50.99,1065,B/TT
/racing/information/english/Racing/LocalResults.aspx?RaceDate=2020/12/13&Racecourse=ST&RaceNo=3,10,13/12/20,"ST / Turf / ""A""",1800,G,3,8,79,C Fownes,V Borges,4,21,133,1 1 1 2 10,1.49.04,1061,B/TT
/racing/information/english/Racing/LocalResults.aspx?RaceDate=2020/11/14&Racecourse=ST&RaceNo=10,03,14/11/20,"ST / Turf / ""C+3""",1800,G,3,6,79,C Fownes,C Y Ho,1-3/4,28,133,2 4 5 7 3,1.47.71,1055,B1/TT
/racing/information/english/Racing/LocalResults.aspx?RaceDate=2020/11/04&Racecourse=ST&RaceNo=8,12,04/11/20,ST / AWT,1650,GD,2,12,82,C Fownes,M L Yeung,17,168,113,12 12 12 12,1.41.96,1072,TT
/racing/information/english/Racing/LocalResults.aspx?RaceDate=2020/10/04&Racecourse=ST&RaceNo=10,12,04/10/20,"ST / Turf / ""C+3""",1800,G,2,5,85,C Fownes,M L Yeung,4-3/4,329,116,6 7 7 11 12,1.48.76,1081,TT
/racing/information/english/Racing/LocalResults.aspx?RaceDate=2020/09/20&Racecourse=ST&RaceNo=10,14,20/09/20,"ST / Turf / ""B+2""",1600,GF,2,13,87,C Fownes,A Badel,9,176,122,14 14 14 14,1.35.06,1081,TT
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/17&Racecourse=HV&RaceNo=8,05,17/02/21,"HV / Turf / ""C""",1200,G,3,12,71,P F Yiu,Z Purton,1-3/4,7.4,124,11 10 5,1.10.26,1214,V
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/02/03&Racecourse=HV&RaceNo=8,04,03/02/21,"HV / Turf / ""A""",1200,G,3,11,71,P F Yiu,K C Leung,4-3/4,18,125,11 11 4,1.10.11,1225,V
/racing/information/English/Racing/LocalResults.aspx?RaceDate=2021/01/06&Racecourse=HV&RaceNo=8,02,06/01/21,"HV / Turf / ""A""",1200,G,3,9,70,P F Yiu,K C Leung,1/2,29,124,8 8 2,1.09.92,1215,B-/V1
